Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Youtube viewcount,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,Song_release_date,Genres
Some Days You Gotta Dance,DIXIE CHICKS,2,71,55,19,39,620174,0.626,0.903,4.0,-8.072000000000001,1.0,0.0694,0.307,0.0007,0.0383,0.909,170.229,147933.0,4.0,0,0,0,12,19,MarchâJune 1999,
Take Away,BIG RIC,83,95,91,2,14,1679,0.503,0.7040000000000001,2.0,-6.634,1.0,0.342,0.263,0.0,0.0827,0.383,75.119,272013.0,4.0,0,0,0,0,0,0,
Song For The Lonely,THE PLATTERS,61,119,118,2,23,64095,0.6859999999999999,0.261,0.0,-14.348,1.0,0.0368,0.72,0.0963,0.106,0.28600000000000003,125.981,190720.0,4.0,0,0,0,0,0,April 1958,
It's Goin' Down,YUNG JOC,6,95,3,28,60,13689498,0.888,0.5770000000000001,1.0,-7.702000000000001,0.0,0.0612,0.0986,0.0,0.131,0.609,84.00299999999999,241840.0,4.0,0,0,0,0,0,April 2006,
Bouncin' Back (Bumpin' Me Against The Wall),MYSTIKAL,1,71,37,20,45,5090762,0.883,0.8959999999999999,0.0,-3.695,1.0,0.208,0.268,1.04e-06,0.0564,0.748,93.928,259547.0,4.0,0,0,0,0,3,"December 4, 2001",
The World's Greatest,R KELLY,1,59,34,18,56,61989369,0.6609999999999999,0.604,11.0,-6.436,0.0,0.0358,0.248,0.0,0.0469,0.721,95.971,277600.0,4.0,0,0,0,3,26,"February 18, 2002",
No Matta What (Party All Night),TOYA,2,97,86,7,21,586856,0.6759999999999999,0.8220000000000001,8.0,-5.4270000000000005,1.0,0.0919,0.0957,0.0,0.0762,0.386,81.079,208733.0,4.0,0,0,0,0,0,"February 26, 2002",
Wrong Impression,NATALIE IMBRUGLIA,2,64,64,8,34,8902124,0.477,0.75,6.0,-5.641,1.0,0.0268,0.0106,0.0,0.158,0.292,100.176,255480.0,4.0,1,0,0,0,3,29Â JanuaryÂ 2002,
Hey Luv (Anything),MOBB DEEP featuring 112,2,67,58,15,51,5633749,0.8370000000000001,0.6709999999999999,7.0,-5.436,1.0,0.222,0.139,0.0,0.251,0.636,99.017,242293.0,4.0,0,0,0,0,0,January 2002,
Feel The Girl,MS. JADE,2,98,92,4,18,46064,0.905,0.635,4.0,-7.8889999999999985,0.0,0.308,0.471,0.000143,0.113,0.722,103.933,246133.0,4.0,0,0,0,0,0,2001â2002,
Chop Suey,SYSTEM OF A DOWN,2,76,76,20,73,677121016,0.419,0.934,7.0,-3.908,0.0,0.12,0.000278,0.0015,0.132,0.28600000000000003,127.288,210240.0,4.0,0,0,0,0,0,"AugustÂ 13,Â 2001",
Give It To Her,TANTO METRO &amp; DEVONTE,2,96,87,11,42,4166445,0.76,0.612,7.0,-6.403,1.0,0.219,0.0116,0.0,0.12,0.675,95.018,208880.0,4.0,0,0,0,0,0,,
Got Ur Self A...,NAS,1,99,87,19,49,3737004,0.6990000000000001,0.8690000000000001,11.0,-4.263,0.0,0.238,0.0118,0.0,0.0982,0.616,93.612,228627.0,4.0,0,0,0,0,13,"December 4, 2001",
