,Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Youtube viewcount,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,artist popularity,TopSongsArtist,TopSongsArtist10,TopSongsArtist100
93,Hop Scotch,SANTO &amp; JOHNNY,4/10/1961,112,90,3,4,2395,0.46,0.63,7.0,-13.023,1.0,0.0342,0.653,0.518,0.11199999999999999,0.774,178.282,119680.0,4.0,0,0,0,54.0,1,0,3
94,Three Little Fishes,BUZZ CLIFFORD,4/10/1961,113,102,4,1,11124,0.486,0.835,8.0,-9.667,1.0,0.0546,0.745,3.59e-06,0.185,0.633,134.012,151240.0,4.0,0,0,0,16.0,0,1,0
95,"Little Girl, Little Boy",AL MARTINO,3/13/1961,114,109,5,0,12975,0.55,0.424,11.0,-12.614,0.0,0.0813,0.596,0.0,0.22399999999999998,0.695,126.729,132627.0,5.0,0,0,0,57.77835159102765,0,2,19
96,Pony Train,TITUS TURNER,4/10/1961,115,115,1,0,2922,0.41700000000000004,0.895,0.0,-6.079,1.0,0.225,0.765,2.05e-06,0.33899999999999997,0.8740000000000001,160.363,149200.0,4.0,0,0,0,15.0,0,0,2
97,Girl Of My Best Friend,RAL DONNER,4/10/1961,116,19,12,12,38901,0.6579999999999999,0.218,1.0,-15.838,0.0,0.038,0.87,3.57e-06,0.129,0.7240000000000001,134.671,137467.0,4.0,0,0,0,19.0,0,1,2
98,Tragedy,FLEETWOODS,4/10/1961,117,10,13,25,64028,0.48200000000000004,0.124,1.0,-21.775,1.0,0.0321,0.6579999999999999,0.008140000000000001,0.125,0.287,181.06099999999998,166160.0,3.0,0,0,0,45.0,2,1,2
99,Jenny,JOHNNY MATHIS,4/10/1961,118,118,1,1,4322,0.28600000000000003,0.17600000000000002,1.0,-15.194,1.0,0.0316,0.9570000000000001,4.86e-06,0.10400000000000001,0.207,81.115,174573.0,4.0,0,0,1,63.0,0,2,17
100,Halfway To Paradise,TONY ORLANDO,4/10/1961,119,39,11,8,164333,0.44799999999999995,0.408,4.0,-5.941,1.0,0.0328,0.46399999999999997,0.0,0.0825,0.616,116.866,162627.0,4.0,0,0,0,49.0,0,0,3
101,My Kind Of Girl,MATT MONRO,4/10/1961,120,18,21,20,110770,0.616,0.185,5.0,-14.1,1.0,0.0391,0.56,0.0,0.157,0.413,130.849,177600.0,4.0,0,0,0,54.0,0,0,1
102,I'm Telling You Now,FREDDIE AND THE DREAMERS,3/13/1965,71,1,11,25,340019,0.605,0.6990000000000001,3.0,-6.875,1.0,0.0317,0.37799999999999995,0.0,0.305,0.8909999999999999,71.38,128907.0,4.0,1,0,0,35.0,1,0,3
