Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations
She's Coming Home,ZOMBIES,4/10/65,85,58,6,13,0,0,0,0,0
Dream On Little Dreamer,PERRY COMO,4/3/65,130,25,11,22,1,0,1,1,4
The Record (Baby I Love You),BEN E. KING,3/27/65,120,84,4,0,0,0,0,0,0
You Can Have Him,DIONNE WARWICK,3/13/65,95,75,8,8,0,0,0,5,14
Apples And Bananas,LAWRENCE WELK,3/13/65,135,75,8,-1,0,0,0,0,1
It's Not Unusual,GLEE CAST,10/8/11,65,65,1,43,0,0,0,0,1
"Every Night, Every Day",JIMMY McCRACKLIN,3/27/65,126,91,5,2,0,0,0,0,0
See You At The Go-Go,DOBIE GRAY,4/3/65,95,69,7,6,0,0,0,0,0
Why Did I Choose You,BARBRA STREISAND,3/27/65,130,77,6,12,0,0,1,8,44
Hawaii Honeymoon,WAIKIKIS,3/27/65,135,91,6,-1,0,0,0,0,0
Don't Let Your Left Hand Know,JOE TEX,4/10/65,95,95,1,1,0,0,0,0,7
Come Back Baby,RODDIE JOY,3/6/65,130,86,8,-1,0,0,0,0,0
What Do You Want With Me,CHAD STEWART &amp; JEREMY CLYDE,4/10/65,97,51,8,-1,0,0,0,0,0
Dear Dad,CHUCK BERRY,4/3/65,100,95,5,22,0,0,1,0,0
Try To Remember,THE BROTHERS FOUR,10/16/65,124,91,7,39,0,0,0,0,0
A Woman Can Change A Man,JOE TEX,4/10/65,100,56,7,2,0,0,0,0,7
I've Got Five Dollars And It's Saturday Night,GEORGE AND GENE (GEORGE JONES &amp; GENE PITNEY),2/27/65,130,99,9,-1,0,0,1,0,0
Double-O-Seven,DETERGENTS,3/13/65,124,89,5,-1,0,0,0,0,0
"Baby, Please Don't Go",THEM,3/13/65,132,102,8,43,0,0,0,0,0
Since I Don't Have You,CHUCK JACKSON,11/14/64,99,47,8,-1,0,0,0,0,0
The Greatest Story Ever Told,FERRANTE AND TEICHER,2/27/65,103,101,8,-1,0,0,0,0,1
Nothing Can Stop Me,GENE CHANDLER,4/10/65,107,18,13,7,0,0,0,0,0
Carmen,BRUCE AND TERRY,3/27/65,127,107,4,-1,0,0,0,0,0
Now That You've Gone,CONNIE STEVENS,3/20/65,124,53,12,-1,0,0,0,0,0
Begin To Love,ROBERT GOULET,2/27/65,119,110,7,10,0,0,0,1,1
This Is It,KENNY LOGGINS,10/20/79,82,11,23,53,1,0,0,2,12
Losing You,BRENDA LEE,4/6/63,82,6,13,18,0,0,1,0,4
Goldfinger (Part 1),JIMMY SMITH,3/6/65,106,106,1,-1,0,0,0,0,1
That'll Be The Day,LINDA RONSTADT,8/21/76,71,11,16,29,0,0,1,10,26
(Somebody) Ease My Troublin' Mind,SAM COOKE,4/10/65,115,115,1,27,0,0,1,0,6
True Love Ways,MICKEY GILLEY,8/17/80,86,66,7,26,0,0,0,1,1
Teasin' You,WILLIE TEE,2/27/65,109,97,7,11,0,0,0,0,0
"Chim, Chim, Cheree",THE NEW CHRISTY MINSTRELS,3/20/65,115,115,2,-1,0,0,0,0,0
El Pussycat,MONGO SANTAMARIA,3/6/65,99,97,8,-1,0,0,0,1,7
Chim Chim Cheree,NEW CHRISTIE MINSTRELS,4/10/65,118,81,7,-1,0,0,0,0,0
Mexican Pearls,BILLY VAUGHN,3/27/65,133,94,7,-1,0,0,0,0,0
Super-Cali-Fragil-Istic-Expi-Ali-Docious,JULIE ANDREWS &amp; DICK VAN DYKE,4/3/65,128,66,8,-1,0,0,1,2,5
Shakin' All Over,THE GUESS WHO,4/10/65,123,22,15,48,0,0,0,0,0
Tomorrow Night,B.B. KING,11/24/62,106,106,1,5,0,0,1,0,0
I Need You,LeANN RIMES,5/27/00,77,11,25,48,0,0,0,2,7
Talk About Love,ADAM FAITH,4/10/65,126,97,3,0,0,0,0,0,0
Girl On The Billboard,DEL REEVES,5/8/65,115,96,9,27,0,0,0,0,2
Tommy,REPARATA AND THE DELRONS,4/10/65,129,92,7,-1,0,0,0,0,0
Good Lovin',OLYMPICS,4/10/65,130,81,8,12,0,0,0,0,0
Do I Hear A Waltz,EYDIE GORME,4/10/65,131,122,3,-1,0,0,0,2,6
T.C.B.,DEE CLARK,4/10/65,132,132,1,1,0,0,0,0,0
"Hush, Hush, Sweet Charlotte",PATTI PAGE,4/10/65,133,8,16,38,1,0,1,1,1
Cry Me A River,JOE COCKER,10/9/70,62,11,9,25,0,0,0,0,7
Girl With A Little Tin Heart,THE LETTERMEN,4/10/65,135,135,1,-1,0,0,0,0,0
Just My Imagination,TEMPTATIONS,2/6/71,71,1,15,54,0,0,0,4,9
What's Going On,ALL STAR TRIBUTE,10/6/01,51,27,10,21,0,0,0,0,0
Joy To The World,THREE DOG NIGHT,3/13/71,58,1,17,58,3,0,0,0,2
She's A Lady,TOM JONES,2/6/71,60,2,14,48,0,0,0,0,3
For All We Know,DINAH WASHINGTON,9/15/62,114,108,2,9,0,1,0,1,1
Me & Bobby McGee,JANIS JOPLIN,1/30/71,94,1,15,65,0,0,1,0,2
Doesn't Somebody Want To Be Wanted,PARTRIDGE FAMILY,2/6/71,103,6,13,26,0,0,0,0,1
Another Day,PAUL McCARTNEY,3/6/71,55,5,12,38,2,0,1,18,78
Proud Mary,SONNY CHARLES &amp; CHECKMATES LTD.,10/11/69,104,69,5,-1,0,0,0,0,3
One Toke Over The Line,BREWER &amp; SHIPLEY,1/30/71,103,10,16,-1,0,0,0,0,0
Wild World,MR. BIG,10/9/93,77,27,20,56,0,0,0,0,0
Help Me Make It Through The Night,O.C. SMITH,11/13/71,93,91,4,-1,0,0,0,0,0
(Where Do I Begin) Love Story,TONY BENNETT,2/13/71,125,114,5,30,0,0,1,18,34
What Is Life,GEORGE HARRISON,2/27/71,66,10,9,56,2,0,1,12,39
Never Can Say Goodbye,GLORIA GAYNOR,10/12/74,110,9,20,31,1,0,0,1,5
Put Your Hand In The Hand,OCEAN,3/6/71,111,2,15,30,0,0,0,0,0
No Love At All,B.J. THOMAS,2/20/71,101,16,12,15,0,0,0,0,0
Oye Como Va,SANTANA,2/20/71,82,13,10,60,0,0,0,8,12
I Am..I Said,NEIL DIAMOND,3/20/71,101,4,15,46,0,0,0,1,13
Temptation Eyes,GRASS ROOTS,12/18/70,112,15,19,44,0,0,0,0,0
Love's Lines Angels And Rhymes,5TH DIMENSION,2/27/71,69,19,10,-1,0,0,0,6,9
Heavy Makes You Happy,STAPLE SINGERS,2/6/71,97,21,15,19,0,0,1,0,5
Blue Money,VAN MORRISON,2/6/71,79,23,12,28,0,0,0,2,7
We Can Work It Out / Never Dreamed You'd Leave In Summer,STEVIE WONDER,3/13/71,67,13,11,-1,0,0,1,25,74
Stay Awhile,DUSTY SPRINGFIELD,3/28/64,80,38,7,19,0,0,0,0,2
You're All I Need To Get By,JOHNNY MATHIS &amp; DENICE WILLIAMS,7/29/78,84,47,8,-1,0,0,1,0,1
Eighteen,ALICE COOPER,2/13/71,103,27,11,55,0,0,0,0,2
If,TIMI YURO,8/22/64,123,120,3,9,0,0,0,0,1
Soul Power,JAMES BROWN,2/27/71,84,29,9,29,0,0,1,0,4
I Play And Sing,DAWN,3/20/71,121,25,9,18,0,0,0,0,0
Cried Like A Baby,BOBBY SHERMAN,2/6/71,107,16,10,8,0,0,0,0,0
Dream Baby,ROY ORBISON,2/17/62,77,4,12,40,0,0,1,5,9
Where Did They Go Lord,ELVIS PRESLEY,3/13/71,60,33,7,21,0,0,1,3,14
One Bad Apple,OSMONDS,1/2/71,78,1,15,30,0,0,0,0,0
Baby Let Me Kiss You,KING FLOYD,3/13/71,88,29,11,20,0,0,0,0,1
Amos Moses,JERRY REED,10/9/70,103,102,2,49,0,0,0,3,9
Free,ULTRA NATE,8/23/97,92,75,19,54,0,0,0,0,0
Friends,JUSTIN BIEBER + BLOODPOP,9/9/17,20,20,10,85,0,0,0,1,7
Chick-A-Boom,DADDY DEWDROP,2/20/71,116,9,18,15,0,0,0,0,0
Power To The People,JOHN LENNON &amp; PLASTIC ONO BAND,4/3/71,73,11,9,-1,0,0,1,7,34
Timothy,BUOYS,1/23/71,101,17,20,26,0,0,0,0,0
Don't Change On Me,RAY CHARLES,3/13/71,75,36,11,-1,0,0,1,17,37
I Love You For All Seasons,THE FUZZ,1/9/71,109,21,22,40,0,0,0,0,0
I Don't Blame You At All,SMOKEY ROBINSON AND THE MIRACLES,3/20/71,79,18,12,14,0,0,1,1,5
When There's No You,ENGELBERT HUMPERDINCK,2/27/71,106,45,8,14,0,0,0,0,2
Do Me Right,DYNASTY,11/30/80,103,103,2,13,0,0,0,0,0
Woodstock,THE ASSEMBLED MULTITUDE,9/25/70,103,79,5,2,0,0,0,0,0
Sit Yourself Down,STEPHEN STILLS,3/13/71,55,37,6,29,0,0,0,1,8
Ask Me No Questions,B.B. KING,2/13/71,100,40,10,12,0,0,1,0,0
I Won't Mention It Again,RAY PRICE,3/20/71,72,42,14,20,0,0,0,2,7
Pushbike Song,MIXTURES,3/6/71,84,44,11,3,0,0,0,0,0
Time And Love,BARBRA STREISAND,3/20/71,82,51,7,11,0,0,1,8,44
